Date,Price
06-11-2022,20926.48633
07-11-2022,20602.81641
08-11-2022,18541.27148
09-11-2022,15880.78027
10-11-2022,17586.77148
11-11-2022,17034.29297
12-11-2022,16799.18555
13-11-2022,16353.36523
14-11-2022,16618.19922
15-11-2022,16884.61328
16-11-2022,16669.43945
17-11-2022,16687.51758
18-11-2022,16697.77734
19-11-2022,16711.54688
20-11-2022,16291.83203
21-11-2022,15787.28418
22-11-2022,16189.76953
23-11-2022,16610.70703
24-11-2022,16604.46484
25-11-2022,16521.8418
26-11-2022,16464.28125
27-11-2022,16444.62695
28-11-2022,16217.32227
29-11-2022,16444.98242
30-11-2022,17168.56641
01-12-2022,16967.13281
02-12-2022,17088.66016
03-12-2022,16908.23633
04-12-2022,17130.48633
05-12-2022,16974.82617
06-12-2022,17089.50391
07-12-2022,16848.12695
08-12-2022,17233.47461
09-12-2022,17133.15234
10-12-2022,17128.72461
11-12-2022,17104.19336
12-12-2022,17206.4375
13-12-2022,17781.31836
14-12-2022,17815.65039
15-12-2022,17364.86523
16-12-2022,16647.48438
17-12-2022,16795.0918
18-12-2022,16757.97656
19-12-2022,16439.67969
20-12-2022,16906.30469
21-12-2022,16817.53516
22-12-2022,16830.3418
23-12-2022,16796.95313
24-12-2022,16847.75586
25-12-2022,16841.98633
26-12-2022,16919.80469
27-12-2022,16717.17383
28-12-2022,16552.57227
29-12-2022,16642.3418
30-12-2022,16602.58594
31-12-2022,16547.49609
01-01-2023,16625.08008
02-01-2023,16688.4707
03-01-2023,16679.85742
04-01-2023,16863.23828
05-01-2023,16836.73633
06-01-2023,16951.96875
07-01-2023,16955.07813
08-01-2023,17091.14453
09-01-2023,17196.55469
10-01-2023,17446.29297
11-01-2023,17934.89648
12-01-2023,18869.58789
13-01-2023,19909.57422
14-01-2023,20976.29883
15-01-2023,20880.79883
16-01-2023,21169.63281
17-01-2023,21161.51953
18-01-2023,20688.78125
19-01-2023,21086.79297
20-01-2023,22676.55273
21-01-2023,22777.625
22-01-2023,22720.41602
23-01-2023,22934.43164
24-01-2023,22636.46875
25-01-2023,23117.85938
26-01-2023,23032.77734
27-01-2023,23078.72852
28-01-2023,23031.08984
29-01-2023,23774.56641
30-01-2023,22840.13867
31-01-2023,23139.2832
01-02-2023,23723.76953
02-02-2023,23471.87109
03-02-2023,23449.32227
04-02-2023,23331.84766
05-02-2023,22955.66602
06-02-2023,22760.10938
07-02-2023,23264.29102
08-02-2023,22939.39844
